GT positions: 384, Colors from testrun: 384

color,x,y
orange,0.114,1.496
orange,-0.114,-1.496
orange,0.612,1.458
orange,0.385,-1.534
blue,5.099,1.116
yellow,4.872,-1.875
blue,10.085,0.736
yellow,9.857,-2.255
blue,15.071,0.356
yellow,14.843,-2.635
blue,20.056,-0.023
yellow,19.828,-3.015
blue,25.042,-0.403
yellow,24.814,-3.395
blue,30.027,-0.783
yellow,29.799,-3.774
blue,35.013,-1.163
yellow,34.785,-4.154
blue,39.998,-1.542
yellow,39.771,-4.534
blue,44.907,-1.225
yellow,45.782,-4.094
blue,49.786,0.203
yellow,50.397,-2.734
blue,54.739,0.678
yellow,54.610,-2.319
blue,59.559,-0.268
yellow,58.550,-3.093
blue,64.143,-2.324
yellow,62.769,-4.990
blue,68.577,-4.638
yellow,67.188,-7.296
blue,73.009,-6.954
yellow,71.619,-9.612
blue,77.440,-9.270
yellow,76.050,-11.928
blue,81.871,-11.586
yellow,80.481,-14.244
blue,86.302,-13.902
yellow,84.913,-16.560
blue,90.734,-16.218
yellow,89.344,-18.876
blue,95.165,-18.534
yellow,93.775,-21.192
blue,99.596,-20.850
yellow,98.207,-23.508
blue,104.156,-22.999
yellow,103.268,-25.865
blue,108.906,-22.912
yellow,110.031,-25.693
blue,113.588,-20.670
yellow,114.716,-23.450
blue,118.387,-19.877
yellow,117.752,-22.809
blue,122.468,-22.582
yellow,120.219,-24.568
blue,125.111,-26.784
yellow,122.320,-27.882
blue,128.001,-30.641
yellow,126.505,-33.242
blue,132.335,-33.135
yellow,130.839,-35.735
blue,136.669,-35.628
yellow,135.172,-38.229
blue,141.002,-38.122
yellow,139.506,-40.722
blue,145.336,-40.616
yellow,143.840,-43.216
blue,149.670,-43.109
yellow,148.174,-45.710
blue,154.004,-45.603
yellow,152.508,-48.203
blue,158.338,-48.096
yellow,156.842,-50.697
blue,162.672,-50.590
yellow,161.175,-53.190
blue,167.005,-53.084
yellow,165.509,-55.684
blue,171.339,-55.577
yellow,169.843,-58.177
blue,175.673,-58.071
yellow,174.177,-60.671
blue,180.007,-60.564
yellow,178.511,-63.165
blue,184.341,-63.058
yellow,182.845,-65.658
blue,188.675,-65.551
yellow,187.178,-68.152
blue,193.008,-68.045
yellow,191.512,-70.645
blue,197.342,-70.539
yellow,195.846,-73.139
blue,201.676,-73.032
yellow,200.180,-75.632
blue,206.010,-75.526
yellow,204.514,-78.126
blue,210.344,-78.019
yellow,208.848,-80.620
blue,214.678,-80.513
yellow,213.181,-83.113
blue,218.781,-83.383
yellow,216.734,-85.576
blue,221.726,-87.343
yellow,219.033,-88.665
blue,223.897,-91.870
yellow,221.301,-93.374
blue,227.090,-95.665
yellow,225.299,-98.072
blue,231.555,-97.873
yellow,230.411,-100.646
blue,236.177,-99.781
yellow,235.032,-102.554
blue,240.799,-101.689
yellow,239.654,-104.462
blue,245.420,-103.597
yellow,244.275,-106.370
blue,250.176,-104.679
yellow,251.169,-107.510
blue,252.580,-100.772
yellow,255.523,-100.189
blue,249.114,-97.576
yellow,250.211,-94.784
blue,244.861,-95.034
yellow,246.828,-92.768
blue,241.206,-91.595
yellow,243.261,-89.410
blue,237.422,-88.341
yellow,239.316,-86.015
blue,233.544,-85.185
yellow,235.438,-82.858
blue,229.762,-81.920
yellow,231.491,-79.469
blue,225.388,-79.503
yellow,226.799,-76.855
blue,220.975,-77.152
yellow,222.386,-74.504
blue,216.562,-74.801
yellow,217.973,-72.153
blue,212.150,-72.450
yellow,213.560,-69.802
blue,207.737,-70.099
yellow,209.147,-67.451
blue,203.324,-67.748
yellow,204.734,-65.100
blue,198.930,-65.365
yellow,200.487,-62.801
blue,194.879,-62.441
yellow,196.797,-60.134
