GT positions: 384, Colors from testrun: 384

color,x,y
blue,190.978,-59.314
yellow,192.830,-56.953
blue,187.044,-56.228
yellow,188.896,-53.868
blue,183.110,-53.143
yellow,184.961,-50.782
blue,179.176,-50.057
yellow,181.027,-47.696
blue,175.496,-46.678
yellow,177.622,-44.561
blue,171.973,-43.130
yellow,174.101,-41.016
blue,168.450,-39.582
yellow,170.578,-37.468
blue,164.927,-36.034
yellow,167.055,-33.920
blue,161.404,-32.486
yellow,163.532,-30.372
blue,157.881,-28.938
yellow,160.009,-26.824
blue,154.320,-25.384
yellow,156.346,-23.171
blue,150.195,-22.772
yellow,151.159,-19.931
blue,145.295,-21.553
yellow,146.037,-18.647
blue,140.856,-19.419
yellow,143.036,-17.357
blue,137.965,-15.338
yellow,140.337,-13.502
blue,134.904,-11.385
yellow,137.276,-9.548
blue,131.843,-7.432
yellow,134.215,-5.595
blue,128.600,-3.673
yellow,130.220,-1.148
blue,123.936,-1.950
yellow,124.233,1.036
blue,118.945,-2.120
yellow,118.700,0.870
blue,114.003,-2.841
yellow,113.865,0.155
blue,109.157,-1.870
yellow,110.614,0.752
blue,105.991,1.848
yellow,108.830,2.815
blue,104.792,6.700
yellow,107.712,7.391
blue,103.642,11.566
yellow,106.561,12.256
blue,101.493,15.880
yellow,103.259,18.305
blue,97.038,18.173
yellow,98.220,20.930
blue,92.464,20.187
yellow,93.675,22.931
blue,87.890,22.206
yellow,89.101,24.950
blue,83.315,24.224
yellow,84.527,26.969
blue,78.741,26.243
yellow,79.952,28.988
blue,74.167,28.262
yellow,75.378,31.007
blue,69.592,30.281
yellow,70.804,33.025
blue,65.018,32.300
yellow,66.229,35.044
blue,60.444,34.318
yellow,61.655,37.063
blue,55.869,36.337
yellow,57.081,39.082
blue,51.295,38.356
yellow,52.506,41.101
blue,46.702,40.325
yellow,47.705,43.152
blue,41.807,41.244
yellow,41.739,44.244
blue,37.035,39.947
yellow,35.664,42.616
blue,32.588,37.663
yellow,31.217,40.331
blue,28.197,35.265
yellow,26.723,37.878
blue,23.380,34.222
yellow,23.482,37.220
blue,18.592,35.478
yellow,20.194,38.014
blue,15.880,39.500
yellow,18.802,40.183
blue,15.181,44.445
yellow,18.159,44.802
blue,13.732,49.132
yellow,15.941,51.162
blue,9.272,51.123
yellow,9.464,54.117
blue,4.281,50.931
yellow,4.283,53.931
blue,-0.711,51.160
yellow,-0.562,54.157
blue,-5.705,51.410
yellow,-5.555,54.406
blue,-10.699,51.660
yellow,-10.549,54.656
blue,-15.699,51.856
yellow,-15.877,54.851
blue,-20.419,50.327
yellow,-21.575,53.096
blue,-25.033,48.401
yellow,-26.188,51.169
blue,-29.647,46.474
yellow,-30.802,49.243
blue,-34.347,44.800
yellow,-34.833,47.760
blue,-39.250,45.322
yellow,-38.135,48.107
blue,-43.498,47.928
yellow,-41.621,50.268
blue,-47.907,49.990
yellow,-47.544,52.968
blue,-52.898,50.324
yellow,-53.281,53.299
blue,-57.063,47.903
yellow,-59.577,49.541
blue,-59.688,43.645
yellow,-62.245,45.215
blue,-62.304,39.384
yellow,-64.860,40.953
blue,-64.852,35.068
yellow,-67.252,36.869
blue,-69.181,32.811
yellow,-69.806,35.745
blue,-74.125,32.244
yellow,-74.267,35.240
blue,-79.036,31.430
yellow,-80.170,34.207
blue,-83.045,28.514
yellow,-85.321,30.468
blue,-85.504,24.193
yellow,-88.275,25.344
blue,-87.419,19.574
yellow,-90.191,20.723
blue,-89.334,14.955
yellow,-92.105,16.104
blue,-91.248,10.336
yellow,-94.020,11.485
blue,-93.185,5.728
yellow,-95.905,6.994
blue,-95.500,1.295
yellow,-98.115,2.764
blue,-98.130,-2.953
yellow,-100.607,-1.261
blue,-100.951,-7.082
yellow,-103.428,-5.390
blue,-103.771,-11.210
yellow,-106.248,-9.518
blue,-106.591,-15.339
yellow,-109.068,-13.647
blue,-109.412,-19.468
yellow,-111.889,-17.776
blue,-112.232,-23.596
yellow,-114.709,-21.904
blue,-115.052,-27.725
yellow,-117.530,-26.033
blue,-117.873,-31.854
yellow,-120.350,-30.161
blue,-116.754,-35.931
yellow,-117.527,-38.830
blue,-112.865,-33.501
yellow,-110.448,-35.279
blue,-109.902,-29.473
yellow,-107.485,-31.251
blue,-106.939,-25.446
yellow,-104.523,-27.223
blue,-103.976,-21.418
yellow,-101.560,-23.196
blue,-101.014,-17.390
yellow,-98.597,-19.168
blue,-98.051,-13.363
yellow,-95.634,-15.140
blue,-95.088,-9.335
yellow,-92.672,-11.113
blue,-92.126,-5.307
yellow,-89.709,-7.085
blue,-89.571,-1.027
yellow,-86.847,-2.284
blue,-87.537,3.543
yellow,-84.758,2.412
blue,-85.901,8.272
yellow,-83.054,7.324
blue,-83.583,12.644
yellow,-81.333,10.660
blue,-79.585,15.591
yellow,-78.393,12.838
blue,-74.780,16.930
yellow,-74.288,13.970
blue,-69.809,17.459
yellow,-69.630,14.464
blue,-64.872,18.146
yellow,-64.034,15.265
blue,-60.068,19.516
yellow,-58.992,16.715
blue,-55.403,21.312
yellow,-54.530,18.442
blue,-50.612,22.744
yellow,-49.747,19.871
blue,-45.825,24.185
yellow,-44.960,21.313
blue,-41.037,25.627
yellow,-40.172,22.755
blue,-36.249,27.069
yellow,-35.384,24.196
blue,-31.462,28.511
yellow,-30.597,25.638
blue,-26.674,29.952
yellow,-25.809,27.080
blue,-21.836,31.062
yellow,-21.631,28.069
blue,-16.820,30.843
yellow,-17.230,27.871
blue,-12.039,29.496
yellow,-13.424,26.835
blue,-8.308,26.247
yellow,-10.838,24.634
blue,-6.777,21.540
yellow,-9.769,21.325
blue,-7.127,16.566
yellow,-10.084,17.070
blue,-8.301,11.721
yellow,-11.147,12.671
blue,-8.910,6.784
yellow,-11.818,6.045
blue,-5.674,3.280
yellow,-7.061,0.620
blue,-0.961,1.611
yellow,-1.358,-1.362
